Country,Continent ,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
Finland,Europe,7.672449112,7.67062664,7.393264294,7.354225159,7.420209408,7.444635868,7.384571075,7.447925568,7.659843445,7.788251877,7.632,7.769,7.808700085,7.842,7.821,
Denmark,Europe,8.01893425,7.834233284,7.970891953,7.683358669,7.770515442,7.78823185,7.519909382,7.588606834,7.507559299,7.514424801,7.555,7.6,7.645599842,7.62,7.636,
Switzerland,Europe,7.473252773,7.524520874,7.776208878,7.492803574,7.572136879,7.458519936,7.473593235,5.32333231,4.978970528,4.464707851,7.487,7.48,7.559899807,7.571,7.512,
Iceland,Europe,6.888284206,7.590660095,7.501394272,7.498070717,7.510034561,7.476213932,5.348258972,5.02679348,5.145833015,4.521517754,7.495,7.494,7.504499912,7.554,7.557,
Netherlands,Europe,7.463979244,7.451879501,7.631011963,7.501875877,7.563797951,7.470715523,7.406550407,7.32118845,7.324437141,7.540877342,7.441,7.488,7.448900223,7.464,7.415,
Norway,Europe,7.415682316,7.632287502,7.678277016,7.444470882,7.603433609,7.596331596,7.578744888,6.852982044,5.224657536,5.671460629,7.594,7.554,7.487999916,7.392,7.365,
Sweden,Europe,7.376315594,7.241362572,7.51599741,7.265977383,7.496018887,7.382232189,7.560147762,7.434010506,7.239147663,7.28892231,7.314,7.343,7.353499889,7.363,7.384,
Luxembourg,Europe,6.957920074,7.097251892,7.101400375,6.964097023,7.130809307,6.89112711,6.701571465,6.967340946,7.061380863,4.493598461,6.91,7.09,7.237500191,7.324,7.404,
New Zealand,Oceania ,7.305014133,7.604173183,7.38117075,7.223756313,7.190638065,7.249629974,7.280151844,7.305892467,7.418120861,7.225687981,7.324,7.307,7.299600124,7.277,7.2,
Austria,Europe,7.122211456,7.180953979,7.302678585,7.470512867,7.400688648,7.498802662,6.949999809,7.07644701,7.048071861,7.293727875,7.139,7.246,7.294199944,7.268,7.163,
Australia,Oceania ,7.340688229,7.285390854,7.253757477,7.450047016,7.405616283,7.195585728,7.364169121,7.288550377,7.309060574,7.250080109,7.272,7.228,7.222799778,7.183,7.162,
Israel,Middle East,7.173417091,6.841114998,7.261261463,7.352979183,7.358916283,7.433147907,7.110854626,7.320563316,7.400570393,7.07941103,6.814,7.139,7.128600121,7.157,7.364,
Germany,Europe,6.619549751,6.416819572,6.521790028,6.64149332,6.724531174,6.621312141,6.702362061,6.965125084,6.984214306,7.037137508,6.965,6.985,7.075799942,7.155,7.034,
Canada,North America,7.418048382,7.481752872,7.485603809,7.48782444,7.650346279,7.426053524,7.415144444,7.593793869,7.30425787,7.412772655,7.328,7.278,7.23210001,7.103,7.025,
Ireland,Europe,7.144246578,7.568029881,7.045911312,7.257389545,7.006904125,6.964645386,6.760085106,7.018379211,6.830125332,7.04073143,6.977,7.021,7.093699932,7.085,7.041,
Costa Rica,Europe,7.082465172,7.432132244,6.850679874,7.614928722,7.271053791,7.228888512,7.272250175,7.158000469,7.247086048,6.854004383,7.072,7.167,7.121399879,7.069,6.582,
United Kingdom,Europe,6.983556747,6.801930904,6.986463547,6.90654707,7.029364109,6.869248867,6.880784035,6.918055058,6.758147717,6.515445232,7.19,7.054,7.164500237,7.064,6.943,
Czech Republic,Europe,6.439256668,6.500194073,6.249617577,6.331490993,6.334149361,6.697655678,6.483729839,6.608017445,6.735627174,6.789567947,6.711,6.852,6.910900116,6.965,6.92,
United States,North America,7.18179369,7.512687683,7.280385971,7.158032417,7.16361618,7.115138531,7.026226997,7.249285221,7.151114464,6.863946915,6.886,6.892,6.939599991,6.951,6.977,
Belgium,Europe,7.262290478,7.218839645,7.116590977,6.853514194,7.111363888,6.935122013,7.10366106,6.855329037,6.904219151,6.948936462,6.927,6.923,6.863500118,6.834,6.805,
France,Europe,7.093392849,6.582700253,7.008064747,6.283498287,6.797901154,6.959185123,6.649365425,6.66712141,6.466867924,6.357625008,6.489,6.592,6.663799763,6.69,6.687,
Bahrain,Middle East,5.700523376,5.936869144,4.82397604,5.027186871,6.689711094,6.165133953,6.00737524,6.169673443,6.227320671,4.318909168,6.105,6.199,6.227300167,6.647,6.647,
Malta,Europe,6.32763958,5.77387476,6.154718399,5.962872028,6.379924774,6.45211792,6.61339426,6.590842247,6.675665855,4.149043083,6.627,6.726,6.772799969,6.602,6.447,
Taiwan Province of China,Asia,6.189050198,5.547682285,6.228530884,6.308915138,6.125916958,6.340344429,6.36349678,6.450088024,6.512850761,6.359450817,6.441,6.446,6.45539999,6.584,6.512,
United Arab Emirates,Middle East,6.734221935,6.866062641,7.097455502,7.118701458,7.217766762,6.620951176,6.539854527,6.568397522,6.83095026,7.039419651,6.774,6.825,6.790800095,6.561,6.576,
Saudi Arabia,Middle East,7.079644203,7.266694069,6.811370373,6.14759016,6.307098389,6.699789524,6.396359444,6.495132923,6.27837801,6.345491886,6.371,6.375,6.406499863,6.494,6.523,
Spain,Europe,7.152785778,6.994614601,7.294472694,6.198601246,6.188262463,6.518249035,6.290690422,6.150027275,6.456477642,6.380663395,6.31,6.354,6.400899887,6.491,6.476,
Italy,Europe,6.853783607,6.574412346,6.779774189,6.333800316,6.354238033,6.057086468,5.839313984,6.009373665,6.026585102,5.847683907,6,6.223,6.38740015,6.483,6.467,
Slovenia,Europe,5.811264515,5.830160618,6.082555294,6.035964012,6.062891006,5.974888802,5.678395271,5.740642071,5.936821461,6.166837692,5.948,6.118,6.363399982,6.461,6.63,
Guatemala,South America,5.901429176,6.329581261,6.414494514,6.451916218,6.289748669,5.743353844,5.855717182,5.984601498,6.536030769,6.464986801,6.382,6.436,6.398900032,6.435,6.262,
Uruguay,South America,5.785868168,5.693945885,5.663869858,6.296222687,6.062010765,6.554047108,6.449728489,6.444464684,6.561443806,6.628080368,6.379,6.293,6.440100193,6.431,6.474,
Singapore,Asia,6.462702751,6.833754539,6.641956806,6.144676685,6.531401634,6.561041832,6.53320694,7.062364578,6.619524956,6.033480644,6.343,6.262,6.377099991,6.377,6.48,
Kosovo,Europe,5.103906155,5.521659851,5.891432762,5.17660141,4.859501839,5.639588356,6.125758171,5.000375271,5.077460766,5.759412289,5.662,6.1,6.325200081,6.372,6.455,
Slovakia,Europe,5.264676571,6.052223206,5.945048332,5.91105938,5.936527252,6.1388731,6.162004471,5.993163109,6.365509033,5.811264515,6.173,6.198,6.280600071,6.331,6.391,
Brazil,South America,6.636771202,6.320672989,6.691424847,7.000831604,6.837331295,7.037816525,6.660003662,7.140282631,6.980998993,6.546896935,6.419,6.3,6.375599861,6.33,6.293,
Mexico,South America,6.580657959,6.525378227,6.829036236,6.962819099,6.802388668,6.909515381,7.320185184,7.442546368,6.679831028,6.236287117,6.488,6.595,6.465000153,6.317,6.128,
Jamaica,South America,6.207881927,5.374446392,5.708886623,5.310538769,5.889759064,6.515817165,6.238197803,5.91067934,5.844999313,6.056752682,5.89,5.89,5.889800072,6.309,5.85,
