Country,Happiness,Normalised_GDP,Social_support,Healthy_life_expectancy,Freedom_life_choices,Generosity,Perceptions_corruption
Finland,7.842,,0.925130935,0.970498474,0.935636038,0.978350515,-0.180811808,0.879341865
Denmark,7.62,,0.93869666,0.970498474,0.944732499,0.975257732,0.055350554,0.886654479
Switzerland,7.571,,0.95449472,0.958290946,0.966823906,0.94742268,0.046125461,0.755027422
Iceland,7.554,,0.933974414,1,0.948630983,0.984536082,0.295202952,0.310786106
Netherlands,7.464,,0.938610801,0.958290946,0.940834016,0.941237113,0.322878229,0.702010969
Norway,7.392,,0.948999742,0.970498474,0.952529466,0.989690722,0.171586716,0.780621572
Sweden,7.363,,0.933029965,0.950152594,0.944732499,0.974226804,0.158671587,0.819012797
Luxembourg,7.324,,1,0.92370295,0.943433005,0.935051546,-0.062730627,0.645338208
New Zealand,7.277,,0.913797544,0.96439471,0.953828961,0.957731959,0.247232472,0.813528336
Austria,7.268,,0.936378467,0.950152594,0.952529466,0.936082474,0.077490775,0.533820841
Australia,7.183,,0.926933974,0.956256358,0.960326433,0.942268041,0.293357934,0.57952468
Israel,7.157,,0.907959131,0.955239064,0.95516744,0.824742268,0.057195572,0.217550274
Germany,7.155,,0.933545119,0.91861648,0.94213351,0.902061856,0.020295203,0.559414991
Canada,7.103,,0.925216794,0.942014242,0.959026939,0.943298969,0.164206642,0.612431444
Ireland,7.085,,0.973812999,0.963377416,0.940834016,0.906185567,0.142066421,0.670932358
Costa Rica,7.069,,0.848287113,0.906408952,0.927839071,0.962886598,-0.232472325,0.151736746
United Kingdom,7.064,,0.919292522,0.950152594,0.94213351,0.88556701,0.429889299,0.559414991
Czech Republic,6.965,,0.90632781,0.963377416,0.920133068,0.884536082,-0.383763838,0.084095064
United States,6.951,,0.946423972,0.935910478,0.886255247,0.862886598,0.180811808,0.281535649
Belgium,6.834,,0.929252168,0.921668362,0.938222032,0.807216495,-0.282287823,0.341864717
France,6.69,,0.919034945,0.958290946,0.961625928,0.84742268,-0.271217712,0.429616088
Bahrain,6.647,,0.916029879,0.876907426,0.9030837,0.953608247,0.164206642,0.254113346
Malta,6.602,,0.916459174,0.947100712,0.938235027,0.955670103,0.245387454,0.334552102
Taiwan Province of China,6.584,,0.933373401,0.91353001,0.90444817,0.808247423,-0.129151292,0.254113346
United Arab Emirates,6.561,,0.951747231,0.858596134,0.874988629,0.960824742,0.136531365,0.407678245
Saudi Arabia,6.494,,0.922383446,0.906408952,0.86550232,0.904123711,-0.274907749,0.297989031
Spain,6.491,,0.907615695,0.948118006,0.970722389,0.784536082,-0.149446494,0.226691042
Italy,6.483,,0.912080364,0.895218718,0.959026939,0.71443299,-0.15498155,0.085923218
Slovenia,6.461,,0.904009616,0.96439471,0.927839071,0.978350515,-0.186346863,0.155393053
Guatemala,6.435,,0.777281703,0.82706002,0.844125635,0.934020619,-0.070110701,0.191956124
Uruguay,6.431,,0.855670988,0.940996948,0.897950697,0.92371134,-0.169741697,0.407678245
Singapore,6.377,,0.986348416,0.930824008,1,0.955670103,-0.033210332,1
Kosovo,6.372,,0.800034344,0.835198372,0.829246423,0.895876289,0.474169742,0.02559415
Slovakia,6.331,,0.890272173,0.952187182,0.899263187,0.789690722,-0.228782288,0.032906764
Brazil,6.33,,0.82227183,0.897253306,0.86547633,0.828865979,-0.13099631,0.213893967
Mexico,6.317,,0.846484073,0.845371312,0.89141424,0.888659794,-0.271217712,0.162705667
Jamaica,6.309,,0.788700953,0.892166836,0.877158785,0.917525773,-0.252767528,0.063985375
Lithuania,6.255,,0.901433846,0.951169888,0.882434733,0.796907216,-0.374538745,0.13345521
Cyprus,6.223,,0.90804499,0.815869786,0.960300443,0.786597938,-0.027675277,0.111517367
Estonia,6.189,,0.899888383,0.957273652,0.894052214,0.937113402,-0.195571956,0.480804388
Panama,6.18,,0.888640852,0.911495422,0.905123907,0.898969072,-0.306273063,0.096892139
Uzbekistan,6.179,,0.758650296,0.93387589,0.847985134,1,0.573800738,0.495429616
Chile,6.172,,0.864686185,0.897253306,0.909646148,0.764948454,-0.081180812,0.12797075
Poland,6.166,,0.89138834,0.91353001,0.905773654,0.867010309,-0.304428044,0.237659963
Kazakhstan,6.152,,0.871898343,0.968463886,0.847270412,0.879381443,-0.127306273,0.241316271
Romania,6.14,,0.882974156,0.846388606,0.875274518,0.871134021,-0.404059041,0.001828154
Kuwait,6.106,,0.928737014,0.85757884,0.869361818,0.893814433,-0.191881919,0.237659963
Serbia,6.078,,0.840302224,0.88809766,0.891453225,0.802061856,0.003690037,0.120658135
