2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Continent ,Name
4.709745884,4.890419483,4.938560486,4.980220318,4.760275841,5.492954254,4.81786871,4.932914734,5.219567776,5.321928024,5.155,5.265,4.724100113,4.759,4.552,Africa,Zuha
4.709745884,4.890419483,4.938560486,4.980220318,4.760275841,5.492954254,4.81786871,4.932914734,5.219567776,5.321928024,5.155,5.265,4.724100113,4.759,4.552,Africa,Zuha
4.561168671,4.44482708,4.506646633,4.573154926,4.297848701,4.180315495,7.672449112,7.67062664,7.393264294,7.354225159,4.35,4.286,4.186200142,4.275,4.241,Africa,Zuha
5.167754173,5.540510654,4.631741047,5.066164494,4.668916225,4.174158573,4.204156876,3.558520317,4.885072708,4.762538433,4.419,4.166,4.151400089,4.283,4.288,Africa,Zuha
3.922484159,4.317949772,4.384741783,3.407507896,3.229129076,4.073562145,4.006897449,3.852394819,3.483278513,3.660597324,3.303,3.231,3.476200104,3.623,3.702,Africa,Zuha
5.083986759,5.204454422,5.346306801,5.218430996,4.652428627,4.930511475,5.133887768,3.660727262,4.828456402,4.887325764,4.724,4.722,4.814099789,4.956,5.194,Africa,Zuha
4.223234177,4.575657845,4.015274525,4.270434856,4.255859375,4.405310154,4.547335148,3.795383215,4.904579639,4.357617855,4.41,4.509,4.583000183,4.607,4.543,Africa,Zuha
3.733583927,4.45583868,4.568619251,4.611985683,4.192882061,4.826001167,4.309237957,3.709578753,3.769919157,4.237686634,4.161,4.189,4.43200016,4.636,4.603,Africa,Zuha
5.46356678,5.317194462,5.604595661,6.354898453,5.340853691,5.248912334,5.589000702,4.360249996,3.937106848,3.794837952,5.295,5.211,5.005099773,4.887,5.122,Africa,Zuha
4.383247375,5.084972858,4.969656467,5.142160416,5.163156986,5.38630724,5.312482834,4.594879627,4.832634926,4.65358305,5.254,5.208,5.094799995,4.918,5.06,Africa,Zuha
4.594879627,4.832634926,4.65358305,4.971111774,4.549767494,4.279863358,4.438939571,4.175670624,4.786247253,4.223846436,4.417,4.466,4.623600006,4.794,5.048,Africa,Zuha
4.535019875,5.220148087,4.965134621,4.197695732,4.606251717,5.608199596,5.057261944,4.965053082,3.860351086,3.985916138,4.657,4.996,5.147999763,5.088,4.872,Africa,Zuha
3.851072073,4.349939346,4.291800499,4.741408348,4.554256916,4.433885098,4.244634151,4.271038055,4.240441322,5.037964821,4.975,5.044,5.084899902,5.142,5.048,Africa,Zuha
4.197181702,3.739365578,3.570368528,4.445038795,4.542545795,5.037734985,6.207881927,5.374446392,5.708886623,5.310538769,4.671,4.944,5.233300209,5.306,5.235,Africa,Zuha
4.560495377,4.86286211,4.84629488,4.454360962,4.652736664,5.037207603,5.094917297,5.241090298,5.195619106,5.303877831,5.246,5.191,5.123899937,5.339,5.585,Asia,Zuha
5.348258972,5.02679348,5.145833015,4.521517754,4.989277363,4.634871483,4.720146656,4.427788734,4.424379349,4.342079163,4.19,4.015,3.573299885,3.819,3.777,Asia,Zuha
4.946978092,5.101213932,4.815309525,5.472361088,5.457299232,5.172608376,5.36777401,5.292237759,5.597375393,5.04279995,5.093,5.192,5.285600185,5.345,5.24,Asia,Zuha
